cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0004	c0004	sb0002	2	100	0.9557503650007856	3.436	0.5440550964402743
p01-s01-c0004	c0004	sb0002	3	100	0.9553007605302128	3.377	0.5301310686540937
p01-s01-c0004	c0004	sb0002	4	100	0.9559615596820729	3.386	0.5299490481835784
p01-s01-c0004	c0004	sb0002	5	100	0.9558819026322783	3.412	0.5357341961626981
p01-s01-c0004	c0004	sb0003	0	100	0.9549670784452735		
p01-s01-c0004	c0004	sb0003	1	100	0.9545478980727728	3.441	0.5259984078882755
p01-s01-c0004	c0004	sb0003	2	100	0.9540950100060658	3.347	0.5279895442007634
p01-s01-c0004	c0004	sb0003	3	100	0.9539071814042477	3.409	0.524794958422707
p01-s01-c0004	c0004	sb0003	4	100	0.9542255917825715	3.468	0.5432605602962073
p01-s01-c0004	c0004	sb0003	5	100	0.954103099429252	3.41	0.5362741407161871
p01-s01-c0005	c0005	sb0001	0	100	0.9549670784452735		
p01-s01-c0005	c0005	sb0001	1	100	0.9549701782429828	3.4059	0.5306993985289802
p01-s01-c0005	c0005	sb0001	2	100	0.9548399074926637	3.3989	0.5304390340487268
p01-s01-c0005	c0005	sb0001	3	100	0.9547781377529576	3.4058	0.5328057312650929
p01-s01-c0005	c0005	sb0001	4	100	0.9549219771537132	3.4098	0.5318318385127793
p01-s01-c0005	c0005	sb0001	5	100	0.9551316885246737	3.4095	0.5332800937454686
p01-s01-c0005	c0005	sb0002	0	100	0.9549670784452735		
p01-s01-c0005	c0005	sb0002	1	100	0.9547593670310276	3.3989	0.5308502115756598
p01-s01-c0005	c0005	sb0002	2	100	0.9546552660886998	3.4092	0.5346570288354482
p01-s01-c0005	c0005	sb0002	3	100	0.9546158096913819	3.4088	0.5327503116103928
p01-s01-c0005	c0005	sb0002	4	100	0.9545249239933847	3.4086	0.5348550192967042
p01-s01-c0005	c0005	sb0002	5	100	0.9545489540323031	3.4078	0.5356802067258205
p01-s01-c0005	c0005	sb0003	0	100	0.9549670784452735		
p01-s01-c0005	c0005	sb0003	1	100	0.9549950709813115	3.4078	0.5325949863348511
p01-s01-c0005	c0005	sb0003	2	100	0.954852766423611	3.3867	0.5303727842687271
p01-s01-c0005	c0005	sb0003	3	100	0.9549498832667013	3.4117	0.5360808927239495
p01-s01-c0005	c0005	sb0003	4	100	0.9553373841548822	3.4063	0.5336357657314247
p01-s01-c0005	c0005	sb0003	5	100	0.9551823096833578	3.4006	0.5323503715964177
p01-s01-c0006	c0006	sb0001	0	100	0.9549670784452735		
p01-s01-c0006	c0006	sb0001	1	100	0.9549833215511787	3.40661	0.5334606127679449
p01-s01-c0006	c0006	sb0001	2	100	0.9548963788387801	3.40463	0.5328770410358266
p01-s01-c0006	c0006	sb0001	3	100	0.9548795444521849	3.40382	0.5339709519723914
