cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	post_return_richness	post_migration_richness	realized_host_feedback	expected_host_feedback_after_migration	migration_replacement_count	realized_migration_fraction	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0009	c0009	sb0001	3	125	0.9531789391938305	126	125	0.5	0.45	100000000	0.1	4.4	0.5245905143052506
p01-s01-c0009	c0009	sb0001	4	133	0.9523340449457114	134	133	0.5	0.45	100000000	0.1	4.43	0.5400239295630268
p01-s01-c0009	c0009	sb0001	5	144	0.9501557506886927	146	144	0.5	0.45	100000000	0.1	4.66	0.5315582099134903
p01-s01-c0009	c0009	sb0002	0	100	0.9549670784452735								
p01-s01-c0009	c0009	sb0002	1	115	0.9550558292503114	116	115	0.5	0.45	100000000	0.1	4.52	0.5144838523451263
p01-s01-c0009	c0009	sb0002	2	130	0.9583227069385485	131	130	0.5	0.45	100000000	0.1	4.67	0.5224684862636493
p01-s01-c0009	c0009	sb0002	3	128	0.9569056025166902	132	128	0.5	0.45	100000000	0.1	4.41	0.5237838663054122
p01-s01-c0009	c0009	sb0002	4	130	0.9579329860306236	133	130	0.5	0.45	100000000	0.1	4.79	0.5404653943318354
p01-s01-c0009	c0009	sb0002	5	134	0.9567582976195299	139	134	0.5	0.45	100000000	0.1	4.71	0.5553959822443753
p01-s01-c0009	c0009	sb0003	0	100	0.9549670784452735								
p01-s01-c0009	c0009	sb0003	1	113	0.955097029659056	114	113	0.5	0.45	100000000	0.1	4.74	0.5461514211339829
p01-s01-c0009	c0009	sb0003	2	121	0.9569777600094067	124	121	0.5	0.45	100000000	0.1	4.27	0.517483950671664
p01-s01-c0009	c0009	sb0003	3	145	0.9590738412513626	147	145	0.5	0.45	100000000	0.1	4.73	0.5428594128504873
p01-s01-c0009	c0009	sb0003	4	134	0.9577643024141449	136	134	0.5	0.45	100000000	0.1	4.37	0.5254427961041244
p01-s01-c0009	c0009	sb0003	5	131	0.9577411799590704	136	131	0.5	0.45	100000000	0.1	4.48	0.49740101693745514
p01-s01-c0010	c0010	sb0001	0	100	0.9549670784452735								
p01-s01-c0010	c0010	sb0001	1	256	0.9566276543058948	275	256	0.5	0.45	100000000	0.1	15.22	0.5186470361199861
p01-s01-c0010	c0010	sb0001	2	338	0.9576873591746206	367	338	0.5	0.45	100000000	0.1	14.52	0.5292002907510235
p01-s01-c0010	c0010	sb0001	3	402	0.9531801496584089	432	402	0.5	0.45	100000000	0.1	15.19	0.5245744073960502
p01-s01-c0010	c0010	sb0001	4	421	0.9523371742101893	451	421	0.5	0.45	100000000	0.1	14.83	0.5399353709793425
p01-s01-c0010	c0010	sb0001	5	463	0.950118395772236	491	463	0.5	0.45	100000000	0.1	14.45	0.5305320733427914
p01-s01-c0010	c0010	sb0002	0	100	0.9549670784452735								
p01-s01-c0010	c0010	sb0002	1	264	0.9550578466736654	277	264	0.5	0.45	100000000	0.1	14.29	0.5144415965551422
p01-s01-c0010	c0010	sb0002	2	395	0.9583235029768662	409	395	0.5	0.45	100000000	0.1	15.16	0.5225060200842622
p01-s01-c0010	c0010	sb0002	3	432	0.9569052767490035	462	432	0.5	0.45	100000000	0.1	14.47	0.523734317747222
p01-s01-c0010	c0010	sb0002	4	445	0.957930986596511	483	445	0.5	0.45	100000000	0.1	15.22	0.5404577286719525
p01-s01-c0010	c0010	sb0002	5	438	0.9567571956525635	471	438	0.5	0.45	100000000	0.1	14.84	0.5553848841947061
p01-s01-c0010	c0010	sb0003	0	100	0.9549670784452735								
p01-s01-c0010	c0010	sb0003	1	284	0.955096505389672	298	284	0.5	0.45	100000000	0.1	15.0	0.5461344341906589
p01-s01-c0010	c0010	sb0003	2	366	0.9570053341316112	397	366	0.5	0.45	100000000	0.1	14.95	0.5174982123965728
p01-s01-c0010	c0010	sb0003	3	421	0.9591241158313538	449	421	0.5	0.45	100000000	0.1	15.01	0.5393622783321177
p01-s01-c0010	c0010	sb0003	4	423	0.956498134260299	456	423	0.5	0.45	100000000	0.1	14.8	0.5340748858585992
p01-s01-c0010	c0010	sb0003	5	444	0.9581345876710664	480	444	0.5	0.45	100000000	0.1	14.62	0.5118803655271782
p01-s01-c0011	c0011	sb0001	0	100	0.9549670784452735								
p01-s01-c0011	c0011	sb0001	1	100	0.9549719928029583	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.33	0.5307747220309094
p01-s01-c0011	c0011	sb0001	2	100	0.9549752301508188	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.39	0.5156879845086711
p01-s01-c0011	c0011	sb0001	3	100	0.9549777478465798	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.37	0.53843822706024
p01-s01-c0011	c0011	sb0001	4	100	0.9549670023611063	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.25	0.5141925349967202
p01-s01-c0011	c0011	sb0001	5	100	0.9549649291514857	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.19	0.5250249942486196
p01-s01-c0011	c0011	sb0002	0	100	0.9549670784452735								
p01-s01-c0011	c0011	sb0002	1	100	0.9549665243168832	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.44	0.5343038785308056
p01-s01-c0011	c0011	sb0002	2	100	0.9549633758020406	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.58	0.5781115728623657
p01-s01-c0011	c0011	sb0002	3	100	0.9549565468972393	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.47	0.5299853812697355
p01-s01-c0011	c0011	sb0002	4	100	0.9549681700336233	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.45	0.5370658034428675
p01-s01-c0011	c0011	sb0002	5	100	0.9549718123739364	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.3	0.5283468167308996
p01-s01-c0011	c0011	sb0003	0	100	0.9549670784452735								
p01-s01-c0011	c0011	sb0003	1	100	0.9549660227018658	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.54	0.5322567302503729
p01-s01-c0011	c0011	sb0003	2	100	0.95496671185764	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.32	0.5413269344260694
p01-s01-c0011	c0011	sb0003	3	100	0.9549689165871358	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.58	0.5514354671649375
p01-s01-c0011	c0011	sb0003	4	100	0.9549745133084802	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.45	0.5362055023212186
p01-s01-c0011	c0011	sb0003	5	100	0.954972792571453	100	100	0.000999000999000999	0.0008991008991008991	100000000	0.1	3.25	0.5235597992267726
p01-s01-c0012	c0012	sb0001	0	100	0.9549670784452735								
p01-s01-c0012	c0012	sb0001	1	100	0.9551127860365265	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.414	0.5359495507453443
p01-s01-c0012	c0012	sb0001	2	100	0.955336696667336	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.426	0.5336021518047156
p01-s01-c0012	c0012	sb0001	3	100	0.9555894347865385	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.473	0.5393744622756258
p01-s01-c0012	c0012	sb0001	4	100	0.9548765998104829	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.395	0.5336556712348459
p01-s01-c0012	c0012	sb0001	5	100	0.9525245204733807	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.396	0.5382515539735322
p01-s01-c0012	c0012	sb0002	0	100	0.9549670784452735								
p01-s01-c0012	c0012	sb0002	1	100	0.9550091714674214	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.357	0.5226472241291579
p01-s01-c0012	c0012	sb0002	2	100	0.9560730353513066	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.445	0.5452960275359067
p01-s01-c0012	c0012	sb0002	3	100	0.9544255588816728	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.366	0.531079121891225
p01-s01-c0012	c0012	sb0002	4	100	0.9549256848531937	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.395	0.5318737684724041
