run_id	cell_id	cell	seed_block_id	master_seed	H	f	e	R	alpha	u	m	richness	shannon	simpson	hill_q1	hill_q2	evenness	gene_diversity	top_frequency	richness_change_pct	hill_q1_change_pct	hill_q2_change_pct	evenness_change	total_variation	jensen_shannon	original_strains_lost	original_strains_retained	final_mutant_richness	mutant_abundance_fraction	generated_mutant_lineages	maximum_mutants_in_one_transition	adult_mutant_lineages	released_mutant_lineages	root_richness	root_hill_q1	root_hill_q2	root_evenness	root_total_variation	infection_richness_g5	pooled_adult_richness_g5	release_richness_g5	median_original_occupancy_hosts_g5	median_original_occupancy_fraction_g5	original_strains_in_pooled_adults_g5	migration_total_emigrants	migration_total_immigrants	migration_emigrant_richness_g5	migration_immigrant_richness_g5	migration_sample_tv_g5	post_return_richness_g5	post_migration_richness_g5	migration_richness_change_g5	realized_host_feedback_g5	expected_host_feedback_after_migration_g5	realized_migration_fraction	elapsed_minutes	output_mib	peak_rss_mib
p01-s01-c0007-v210-m010-sb0003	p01-s01-c0007	c0007	sb0003	668	100	0.01	10000000	1000000000	0.5	1e-12	0.1	102	3.4794961234755335	0.9573456103686675	32.44337050385166	23.44424591801997	0.752327908497409	0.9573456103686675	0.085568669	2.0000000000000018	-5.213726346322378	5.576288733590951	-0.014862349556168608	0.16205668200000004	0.02664884221822343	0	100	2	2e-09	266	1	13	3	100	32.44336929877059	23.444245814409282	0.7555629750488424	0.162056681	64	48	46	5.0	0.05	45	500000000	500000000	100	100	0.18011986	102	102	0	0.5	0.45	0.1	0.1029087827502129	0.1790637969970703	95.30078125
p01-s01-c0008-v210-m010-sb0001	p01-s01-c0008	c0008	sb0001	666	100	0.01	10000000	1000000000	0.5	1e-11	0.1	102	3.388682865369577	0.9501549393206007	29.62690393888913	20.06216837475523	0.7326924940264063	0.9501549393206007	0.09488335	2.0000000000000018	-13.442290962667592	-9.654194536193339	-0.03449776402717131	0.137488035	0.02078015866880787	0	100	2	2e-09	2482	3	67	17	100	29.626902836769496	20.062168303080135	0.7358431265971849	0.137488033	64	62	51	3.0	0.03	49	500000000	500000000	102	100	0.15287205	104	102	-2	0.5	0.45	0.1	0.10268506388335179	0.2575492858886719	95.80859375
p01-s01-c0008-v210-m010-sb0002	p01-s01-c0008	c0008	sb0002	667	100	0.01	10000000	1000000000	0.5	1e-11	0.1	103	3.485431749119485	0.9567592448915283	32.63651485500651	23.126330645509057	0.7520249313327904	0.9567592448915283	0.095320106	3.0000000000000027	-4.649437462679651	4.1446233807876265	-0.015165326720787298	0.15164907400000002	0.023736685061111415	0	100	3	7e-09	2566	3	54	13	100	32.63651089279139	23.12633036142566	0.7568518614838728	0.15164907400000002	63	59	55	4.0	0.04	52	500000000	500000000	102	100	0.16854072	103	103	0	0.5	0.45	0.1	0.06869558773275154	0.26213645935058594	95.1484375
p01-s01-c0008-v210-m010-sb0003	p01-s01-c0008	c0008	sb0003	668	100	0.01	10000000	1000000000	0.5	1e-11	0.1	107	3.47951312986161	0.9573466377080777	32.443922253027694	23.444810590919825	0.7446267032510061	0.9573466377080777	0.085563607	7.000000000000006	-5.212114360650865	5.578831620631286	-0.02256355480257155	0.162067906	0.026651711763421557	0	100	7	9e-09	2548	2	63	20	100	32.4439170588009	23.444810212045663	0.7555666412394312	0.162067904	64	63	51	5.0	0.05	45	500000000	500000000	102	100	0.18013077	107	107	0	0.5	0.45	0.1	0.10301933208344659	0.2610359191894531	95.59765625
p01-s01-c0009-v210-m010-sb0001	p01-s01-c0009	c0009	sb0001	666	100	0.01	10000000	1000000000	0.5	1e-10	0.1	144	3.3886920584231293	0.9501557497385369	29.62717630185555	20.062494565659975	0.6818550022215594	0.9501557497385369	0.094892453	43.99999999999999	-13.44149522935545	-9.652725603250822	-0.08533525583201829	0.13750264799999998	0.02078136433142778	0	100	44	4.9e-08	25523	4	561	129	100	29.627149851429976	20.0624926925037	0.7358449370573834	0.137502623	64	186	82	3.0	0.03	49	500000000	500000000	102	100	0.15288826	146	144	-2	0.5	0.45	0.1	0.10286161658295896	1.0825691223144531	97.6875
p01-s01-c0009-v210-m010-sb0002	p01-s01-c0009	c0009	sb0002	667	100	0.01	10000000	1000000000	0.5	1e-10	0.1	134	3.4854048043205665	0.9567582966627716	32.63563548252366	23.125823518128207	0.7116208260538655	0.9567582966627716	0.095315717	34.00000000000001	-4.652006629800964	4.142339638031611	-0.055569431999712204	0.15165591	0.02373789856656166	0	100	34	4.8e-08	25390	3	572	130	100	32.6356076050765	23.125821051499333	0.756845851369919	0.151655905	62	166	81	4.0	0.04	52	500000000	500000000	107	100	0.16854836	139	134	-5	0.5	0.45	0.1	0.10352214961603749	1.0799732208251953	96.7265625
p01-s01-c0009-v210-m010-sb0003	p01-s01-c0009	c0009	sb0003	668	100	0.01	10000000	1000000000	0.5	1e-10	0.1	131	3.4992483713131355	0.9577411790013292	33.0905707868943	23.663698521817533	0.7177654850317853	0.9577411790013292	0.08837009	31.000000000000007	-3.322871537327299	6.564547922770569	-0.04942477302179238	0.163428529	0.026565665269597468	0	100	31	4.1e-08	25217	3	556	126	100	33.090546514891706	23.663696697199686	0.759851969957106	0.16342852400000002	63	169	74	4.0	0.04	51	500000000	500000000	106	100	0.18168008	136	131	-5	0.5	0.45	0.1	0.10297722000007828	1.0717353820800781	97.28125
p01-s01-c0010-v210-m010-sb0001	p01-s01-c0010	c0010	sb0001	666	100	0.01	10000000	1000000000	0.5	1e-09	0.1	463	3.3884686618132758	0.9501183948221176	29.620558430342733	20.047470333681282	0.5520722299890118	0.9501183948221176	0.094906337	363.0	-13.460829946139707	-9.72038410926247	-0.2151180280645658	0.138274371	0.020791481392510164	0	100	363	4.57e-07	253749	8	5737	1276	100	29.620313329122883	20.047450901983154	0.7357948241282019	0.13827419999999999	64	1163	332	3.5	0.035	48	500000000	500000000	140	100	0.1537424	491	463	-28	0.5	0.45	0.1	0.13684424555006747	9.264482498168945	109.13671875
p01-s01-c0010-v210-m010-sb0002	p01-s01-c0010	c0010	sb0002	667	100	0.01	10000000	1000000000	0.5	1e-09	0.1	438	3.485422552106766	0.9567571946958062	32.63621469794456	23.125234197121305	0.5730511518025981	0.9567571946958062	0.095327717	338.0	-4.650314398983479	4.139685753364164	-0.19413910625097952	0.15163194	0.02373103200884799	0	100	338	4.18e-07	253670	10	5660	1304	100	32.63596896832432	23.125214525722104	0.7568482557559126	0.151631848	61	1179	299	4.0	0.04	52	500000000	500000000	147	100	0.16852173	471	438	-33	0.5	0.45	0.1	0.13701189501637903	9.25329303741455	109.921875
p01-s01-c0010-v210-m010-sb0003	p01-s01-c0010	c0010	sb0003	668	100	0.01	10000000	1000000000	0.5	1e-09	0.1	444	3.5008786812946293	0.9581345867129317	33.14456267453937	23.886065405423516	0.5743076503333265	0.9581345867129317	0.08089255	344.00000000000006	-3.1651293003794656	7.565930965350298	-0.19288260772025112	0.17695881500000002	0.029836137851167076	0	100	344	4.21e-07	252928	8	5726	1314	100	33.144313228355294	23.886046294762217	0.7602045122918645	0.17695867100000004	61	1176	322	4.0	0.04	49	500000000	500000000	150	100	0.19663982	480	444	-36	0.5	0.45	0.1	0.13709061526654598	9.227126121520996	110.16015625
p01-s01-c0011-v210-m010-sb0001	p01-s01-c0011	c0011	sb0001	666	100	1e-05	10000	1000000	0.000999000999001	0.0	0.1	100	3.532990965799227	0.9549649281965207	34.22618402151112	22.204916300871588	0.7671792405303223	0.9549649281965207	0.093502715	0.0	-0.005073628249085971	-0.004774609358271231	-1.101752325538552e-05	0.00032342500000000126	1.371526342771605e-07	0	100	0	0.0	0	0	0	0	100	34.22618402151112	22.204916300871588	0.7671792405303223	0.00032342500000000126	66	51	51	3.0	0.03	51	500000000	500000000	100	100	0.00055757	100	100	0	0.000999000999000999	0.0008991008991008991	0.1	0.06849152513314039	0.16229820251464844	94.65234375
p01-s01-c0011-v210-m010-sb0002	p01-s01-c0011	c0011	sb0002	667	100	1e-05	10000	1000000	0.000999000999001	0.0	0.1	100	3.533016913830495	0.9549718114189645	34.227072135126654	22.208310649679767	0.7671848750737202	0.9549718114189645	0.093415669	0.0	-0.0024789231093391706	0.010511135002544414	-5.3829798574156484e-06	0.0003088229999999962	1.6382236885895754e-07	0	100	0	0.0	0	0	0	0	100	34.227072135126654	22.208310649679767	0.7671848750737202	0.0003088229999999962	69	46	46	3.5	0.035	46	500000000	500000000	100	100	0.00052651	100	100	0	0.000999000999000999	0.0008991008991008991	0.1	0.06850911483343225	0.16485118865966797	95.13671875
p01-s01-c0011-v210-m010-sb0003	p01-s01-c0011	c0011	sb0003	668	100	1e-05	10000	1000000	0.000999000999001	0.0	0.1	100	3.5331689576636576	0.9549727916164801	34.23227654601127	22.208794102501006	0.7672178909725952	0.9549727916164801	0.093398531	0.0	0.01272623919821303	0.012688264299964835	2.76329190175284e-05	0.0002885659999999948	1.5768884681071194e-07	0	100	0	0.0	0	0	0	0	100	34.23227654601127	22.208794102501006	0.7672178909725952	0.0002885659999999948	74	54	54	2.5	0.025	54	500000000	500000000	100	100	0.00051335	100	100	0	0.000999000999000999	0.0008991008991008991	0.1	0.06857552115009942	0.164947509765625	94.58984375
