run_id	cell_id	cell	seed_block_id	generation	D0	shannon	simpson	D1	D2	evenness	TV	root_D0	root_D1	root_D2	mutant_richness	mutant_abundance_fraction	H	f	alpha	u	m	source_role	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd
p01-s02-c0021-v210-m010-g250-sb0011	p01-s02-c0021	c0021	sb0011	100	100	3.5330513416968317	0.9549679507771077	34.22825052047574	22.20640670937186	0.767192350989907	9.825700000000974e-05	100	34.22825052047574	22.20640670937186	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22739383559431	0.0009806214270281482	22.206100761433	0.0009110668303915628	0.7671869159450831	6.221281488822455e-06	9.348838000000208e-05	9.387147983323878e-06
p01-s02-c0021-v210-m010-g250-sb0012	p01-s02-c0021	c0021	sb0012	100	100	3.5329993206115224	0.9549658486684244	34.22646997604876	22.20537015646728	0.7671810547547608	9.719900000000758e-05	100	34.22646997604876	22.20537015646728	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22817514715358	0.000914746298949483	22.206312655925682	0.0005236126741863179	0.7671918727379406	5.803212676486409e-06	9.079832000000338e-05	8.902323841169784e-06
p01-s02-c0022-v210-m010-g250-sb0001	p01-s02-c0022	c0022	sb0001	100	100	3.4217007125593826	0.954618279755803	30.62144904402565	22.035303964218343	0.7430128690944823	0.18409745900000002	100	30.62144904402565	22.035303964218343	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	30.533674376157602	1.825095256015438	21.3936542882858	1.4322132139829853	0.7420109337189131	0.012942502773571623	0.17329169245999998	0.01634955683243322
p01-s02-c0022-v210-m010-g250-sb0002	p01-s02-c0022	c0022	sb0002	100	100	3.2651002437651675	0.9467273339855167	26.18273551526509	18.77135264317591	0.7090075093640873	0.15607835899999997	100	26.18273551526509	18.77135264317591	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	28.088213904340094	1.419995809960507	19.363806274806006	1.0963798919204757	0.7239917694169494	0.010929877379439033	0.17082752786	0.015309548224347049
p01-s02-c0022-v210-m010-g250-sb0003	p01-s02-c0022	c0022	sb0003	100	100	3.319632525002818	0.9455599329180535	27.650187938641924	18.368823802048947	0.7208490437776411	0.19790571599999998	100	27.650187938641924	18.368823802048947	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	30.124135558126042	1.6282568679203617	20.647485776839567	1.152116896230363	0.7391453808935193	0.01176766038502517	0.17564593254	0.020646834568912628
p01-s02-c0022-v210-m010-g250-sb0004	p01-s02-c0022	c0022	sb0004	100	100	3.2881739557077134	0.946242671983659	26.793892123632283	18.602115039944355	0.7140179022509237	0.136612196	100	26.793892123632283	18.602115039944355	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	29.24370515641839	2.140832622938053	19.58990045037437	1.197277520447215	0.7324480407217187	0.015856614821352148	0.17024051758	0.015707091594001514
p01-s02-c0022-v210-m010-g250-sb0005	p01-s02-c0022	c0022	sb0005	100	100	3.404964309863796	0.9530306011041033	30.113220959781053	21.290457691749634	0.7393786054256803	0.155423049	100	30.113220959781053	21.290457691749634	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	28.25067586785901	1.6938558018631582	18.66356637010148	1.5965791440639914	0.7251216986450199	0.013282028344120985	0.17427519802	0.016498668639819553
p01-s02-c0022-v210-m010-g250-sb0006	p01-s02-c0022	c0022	sb0006	100	100	3.519865179178155	0.9552482697959356	33.779873926468625	22.34550475344927	0.7643290121802366	0.17047428800000006	100	33.779873926468625	22.34550475344927	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	32.42242552529933	1.4860794871354992	22.49402565747564	1.5830090240051031	0.7551987019997668	0.009971257345092938	0.18248162802	0.01879477371759721
p01-s02-c0022-v210-m010-g250-sb0007	p01-s02-c0022	c0022	sb0007	100	100	3.3496725783822447	0.9508766848689014	28.493402760257037	20.35693229032354	0.7273721584870233	0.184544243	100	28.493402760257037	20.35693229032354	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	29.576783748000583	1.3621929951780614	20.433060098580533	1.4371977498017952	0.7352500587234794	0.009993384340710688	0.1763106562	0.01856567289601804
p01-s02-c0022-v210-m010-g250-sb0008	p01-s02-c0022	c0022	sb0008	100	100	3.3053852274609934	0.9425233791583802	27.259040497397233	17.39837842512627	0.7177552824254171	0.17783667300000003	100	27.259040497397233	17.39837842512627	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	30.655756482633816	1.6499313159673379	21.06013484989382	1.4693082997433438	0.7429442354350563	0.011791095200825174	0.17217635508	0.02001369359039193
