cell_id	seed_block_id	response	window	start_generation	end_generation	mean	median	sd	cv	q05	q95	lag1_autocorrelation	integrated_autocorrelation_time
p01-s02-c0021	sb0002	evenness	3	151	200	0.7671952531985384	0.7671958696485199	5.722969981649975e-06	7.459600353091546e-06	0.7671851742643465	0.7672026852168408	0.8139409097818221	6.510457657736108
p01-s02-c0021	sb0002	evenness	4	201	250	0.7671913051889954	0.767191207427135	4.8229886315900865e-06	6.2865527789081986e-06	0.7671836864168343	0.7671985544437325	0.7232473280017399	5.1674738702895
p01-s02-c0021	sb0002	TV	1	51	100	9.747862000000142e-05	9.684700000000705e-05	7.997872813850594e-06	0.08204745629195898	8.619854999999855e-05	0.00011215725000000916	0.6623947469856559	3.8758254779866284
p01-s02-c0021	sb0002	TV	2	101	150	9.289722000000702e-05	9.174400000001025e-05	8.132277872747464e-06	0.08754059457050328	8.080900000000911e-05	0.00010453620000000414	0.6324975918836958	5.475903730617137
p01-s02-c0021	sb0002	TV	3	151	200	9.196547999999639e-05	9.123900000000473e-05	5.793596730099498e-06	0.06299751526442014	8.355514999999862e-05	0.00010227220000000377	0.3538266379254433	2.016823614703662
p01-s02-c0021	sb0002	TV	4	201	250	8.689076000000366e-05	8.606000000000728e-05	1.099027407795783e-05	0.1264838065400437	7.00677000000065e-05	0.00010193695000001029	0.829577618432403	9.741351315077607
p01-s02-c0021	sb0003	D0	1	51	100	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0003	D0	2	101	150	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0003	D0	3	151	200	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0003	D0	4	201	250	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0003	D1	1	51	100	34.22798345971242	34.22798255738643	0.0010223039549290876	2.986749003581752e-05	34.226416043163695	34.2294711591291	0.8046153284442545	8.024705569311532
p01-s02-c0021	sb0003	D1	2	101	150	34.228876728589825	34.228907228300216	0.000768321982392121	2.2446602279249688e-05	34.2274589114991	34.229980835193714	0.7594448112891617	6.377244966844876
p01-s02-c0021	sb0003	D1	3	151	200	34.22819237617735	34.22827935741433	0.0008362085723598603	2.4430404129137047e-05	34.22675034523969	34.22963094142187	0.7664495751522793	6.8703348343711355
p01-s02-c0021	sb0003	D1	4	201	250	34.22825495150519	34.228205655751594	0.0009034281541178473	2.639422183216264e-05	34.2267628220027	34.229719046171006	0.7513867567981223	3.3824573921543735
p01-s02-c0021	sb0003	D2	1	51	100	22.206011262856038	22.206207906638333	0.0008590992927246031	3.868769057870457e-05	22.204622039941885	22.207237420184025	0.8533100208686697	13.048230307077466
p01-s02-c0021	sb0003	D2	2	101	150	22.206088338205095	22.206013927387474	0.0006142113311080019	2.7659591448677822e-05	22.205043003598202	22.206997594568243	0.7705387273411087	7.668517690018545
p01-s02-c0021	sb0003	D2	3	151	200	22.206011868804147	22.2060313847061	0.0006456666658964289	2.907621006919689e-05	22.205034999031174	22.207149747848376	0.747959447011016	3.921706782289337
p01-s02-c0021	sb0003	D2	4	201	250	22.2059710827668	22.20597945557793	0.0007865716200565706	3.542162678339244e-05	22.204754765701495	22.207263555925927	0.8568783775372935	5.95363968268718
p01-s02-c0021	sb0003	evenness	1	51	100	0.767190656629776	0.7671906510001377	6.485652015799008e-06	8.453768251414975e-06	0.767180712578482	0.7672000946979818	0.8046146994969584	8.02472733527047
p01-s02-c0021	sb0003	evenness	2	101	150	0.7671963236231352	0.7671965171659915	4.8742445297394715e-06	6.3533210205186216e-06	0.7671873288897595	0.767203327991065	0.759444019007347	6.37725546580763
p01-s02-c0021	sb0003	evenness	3	151	200	0.7671919820531896	0.767192533933989	5.305014500800062e-06	6.914846120527188e-06	0.7671828335264159	0.7672011083330726	0.7664534988072509	6.870353841981504
p01-s02-c0021	sb0003	evenness	4	201	250	0.767192379026647	0.7671920663636753	5.731443719520456e-06	7.470673427168369e-06	0.7671829126841303	0.7672016672542897	0.7513847380325531	3.3824242516470946
