cell_id	response	assessment_end_generation	window_generations	previous_assessment_equivalent	current_assessment_equivalent	largest_previous_ci_to_margin_ratio	largest_current_ci_to_margin_ratio	equivalence_margin	rank_normalized_split_rhat	approximate_combined_ess	stationarity_screen_pass	full_equilibrium_status
p01-s02-c0022	evenness	140	20	False	False	1.2658504000437316	1.2658504000437316	0.02	1.2595161621947684	99.57419420168917	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	140	20	True	True	0.4944112679638569	0.6518353766317934	0.05	1.0854847525843216	145.80372829888543	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	160	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	160	20	False	False	2.2880828557005866	1.5996705827580955	1.4913160510500945	1.416476985272121	104.23058766070275	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	160	20	False	False	3.097484881847441	1.9086847266866236	1.0343901535594775	1.4198298689168452	105.87236615201823	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	160	20	False	True	1.2658504000437316	0.8725505392216982	0.02	1.416476985272121	104.43846361799453	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	160	20	True	True	0.6518353766317934	0.6518353766317934	0.05	1.1504123670578963	148.94922697777983	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	180	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	180	20	False	False	1.5996705827580955	1.5039119073531977	1.4858554749394404	1.3152166252832123	105.19281093799866	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	180	20	False	False	1.9086847266866236	2.161729589364364	1.0140809634930947	1.2768758399688016	101.7927874172175	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	180	20	True	True	0.8725505392216982	0.8257103823095411	0.02	1.3152166252832123	105.16387999238663	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	180	20	True	True	0.6518353766317934	0.6518353766317934	0.05	1.2106063185264369	177.00553637718468	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	200	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	200	20	False	False	1.5039119073531977	1.4591710189077098	1.478860071619284	1.4034697354034849	82.97156101933642	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	200	20	False	False	2.161729589364364	2.161729589364364	1.0121473019192602	1.4116303894601794	81.10175697460541	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	200	20	True	True	0.8257103823095411	0.7736768908110444	0.02	1.4034697354034849	83.07246527160659	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	200	20	True	True	0.6518353766317934	0.4414466829941522	0.05	1.1998640471427449	170.23990489222712	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	220	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	220	20	False	False	1.4591710189077098	1.4591710189077098	1.4689093577238124	1.3131969272727104	91.60864208848616	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	220	20	False	False	2.161729589364364	2.161729589364364	1.0086166577365168	1.360110837177888	91.78332664383326	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	220	20	True	True	0.7736768908110444	0.7736768908110444	0.02	1.3131969272727104	91.72481783275589	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	220	20	True	True	0.4414466829941522	0.4414466829941522	0.05	1.189944552756386	174.82804707306855	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	240	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	240	20	False	False	1.4591710189077098	1.521987078557461	1.4897490350238303	1.2930214444184518	99.87589793806086	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	240	20	False	False	2.161729589364364	1.9473709992981383	1.027025994835436	1.2839585956715562	93.64884224029574	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	240	20	True	True	0.7736768908110444	0.8159050423688616	0.02	1.2930214444184518	99.05026677859428	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	240	20	True	True	0.4414466829941522	0.4268308416772668	0.05	1.1261537628527793	149.82260855407478	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	250	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	250	20	False	False	1.717386910298236	1.717386910298236	1.4804644145133803	1.3493695141323205	115.52041097769938	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	250	20	False	False	2.161139251090448	2.161139251090448	1.0198498692096558	1.396170371537089	104.31132889542367	False	not established: contrasting initial conditions not tested
