run_id	cell_id	cell	seed_block_id	generation	feedback_exposure	D0	shannon	D1	D2	evenness	top_frequency	TV	jensen_shannon	turnover	mutant_richness	mutant_abundance_fraction	root_D0	root_D1	root_D2	root_evenness	mean_adult_richness	mean_adult_gene_diversity	realized_host_feedback	expected_host_feedback_after_migration
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	34	0.0	100	3.5330205950712688	34.22719813345207	22.205428156032838	0.7671856744449975	0.093443969	9.307300000000257e-05	1.342101094265612e-08	4.122000000001067e-05	0	0.0	100	34.22719813345207	22.205428156032838	0.7671856744449975	3.22	0.48794516497113155	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	35	0.0	100	3.5330189523185442	34.22714190667527	22.205567531278508	0.7671853177257758	0.093444677	8.78090000000045e-05	1.2157215243254422e-08	2.9651999999984652e-05	0	0.0	100	34.22714190667527	22.205567531278508	0.7671853177257758	3.34	0.5109264855434421	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	36	0.0	100	3.5330365748377663	34.227745080456145	22.20620293364878	0.7671891444072035	0.093443582	8.764700000000081e-05	1.1551516622493937e-08	3.843400000000212e-05	0	0.0	100	34.227745080456145	22.20620293364878	0.7671891444072035	3.56	0.5545954165535639	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	37	0.0	100	3.533035235461046	34.2276992366419	22.2060418108286	0.7671888535652441	0.093438688	7.603100000000028e-05	9.446858644458367e-09	4.5548999999995155e-05	0	0.0	100	34.2276992366419	22.2060418108286	0.7671888535652441	3.44	0.5405415021127122	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	38	0.0	100	3.5330316095763115	34.22757513117473	22.20592579047087	0.767188066214378	0.093437738	8.157100000000006e-05	8.761997112202999e-09	4.443699999999971e-05	0	0.0	100	34.22757513117473	22.20592579047087	0.767188066214378	3.55	0.5526885055832041	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	39	0.0	100	3.5330252669264506	34.22735803833856	22.205632277200817	0.7671866889254604	0.093435143	8.65430000000046e-05	9.160888741371678e-09	4.6202999999997836e-05	0	0.0	100	34.22735803833856	22.205632277200817	0.7671866889254604	3.37	0.5191830704320799	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	40	0.0	100	3.533041404511017	34.22791038968018	22.205955471980165	0.7671901931574245	0.09342782	9.666100000000182e-05	1.049469576661932e-08	3.915600000001625e-05	0	0.0	100	34.22791038968018	22.205955471980165	0.7671901931574245	3.34	0.5334483670561879	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	41	0.0	100	3.533053053403992	34.22830910926739	22.20608067794512	0.7671927226823942	0.093431142	8.982900000000253e-05	9.797276932026655e-09	3.2348999999998656e-05	0	0.0	100	34.22830910926739	22.20608067794512	0.7671927226823942	3.43	0.5341212907649903	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	42	0.0	100	3.5330738630078513	34.229021394231886	22.206421673094397	0.7671972414304575	0.093433478	9.017700000000687e-05	1.2304883288690086e-08	4.2077999999995906e-05	0	0.0	100	34.229021394231886	22.206421673094397	0.7671972414304575	3.39	0.5214727498437783	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	43	0.0	100	3.5330715874513334	34.228943504247766	22.206329249236187	0.767196747299638	0.093438659	8.843000000000352e-05	1.1331993981523091e-08	4.127499999999988e-05	0	0.0	100	34.228943504247766	22.206329249236187	0.767196747299638	3.44	0.5262088605827631	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	44	0.0	100	3.5330881627612163	34.229510864295385	22.206898444577035	0.7672003465824471	0.093438121	8.205599999999819e-05	1.1438643964700434e-08	3.946899999999359e-05	0	0.0	100	34.229510864295385	22.206898444577035	0.7672003465824471	3.36	0.5418645067334475	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	45	0.0	100	3.5330858516083548	34.22943175475482	22.206940988036486	0.7671998447219798	0.093437278	8.222900000000701e-05	1.056937182328789e-08	3.8801000000001365e-05	0	0.0	100	34.22943175475482	22.206940988036486	0.7671998447219798	3.41	0.5247320074679641	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	46	0.0	100	3.533082099322675	34.229303316389185	22.20698064504432	0.7671990299234971	0.09344085	8.32369999999954e-05	1.1284169153879435e-08	3.5845000000017896e-05	0	0.0	100	34.229303316389185	22.20698064504432	0.7671990299234971	3.32	0.5193072708620392	0.0	0.0
