run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	source_role	source_run_id	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd	TV_51_75_mean	TV_76_100_mean	TV_late_change
p01-s03-c0052-v210-adaptive-g1000-sb0011	p01-s03-c0052	c0052	sb0011	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0011	100.0	0.0	28.02859557176945	1.0512402080523002	19.861260706214704	0.9836851016815561	0.7236502852046571	0.008173964223412848	0.19614252556	0.018871965887567017	0.19820591776000002	0.19407913336	-0.0041267844000000276
p01-s03-c0052-v210-adaptive-g1000-sb0012	p01-s03-c0052	c0052	sb0012	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0012	100.0	0.0	28.596144981349735	2.0194302361155274	19.938143451625184	1.897269367368703	0.7276095468873046	0.01563135468425591	0.21458744944	0.021442680261261983	0.21600256636	0.21317233252	-0.0028302338400000016
p01-s03-c0053-v210-adaptive-g1000-sb0001-reused	p01-s03-c0053	c0053	sb0001	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0001	100.0	0.0	30.533674376157602	1.825095256015438	21.3936542882858	1.4322132139829853	0.7420109337189131	0.012942502773571623	0.17329169245999998	0.01634955683243322	0.1763047512	0.17027863372	-0.0060261174800000095
p01-s03-c0053-v210-adaptive-g1000-sb0002-reused	p01-s03-c0053	c0053	sb0002	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0002	100.0	0.0	28.088213904340094	1.419995809960507	19.363806274806006	1.0963798919204757	0.7239917694169494	0.010929877379439033	0.17082752786	0.015309548224347049	0.16915437792	0.17250067779999997	0.0033462998799999866
p01-s03-c0053-v210-adaptive-g1000-sb0003-reused	p01-s03-c0053	c0053	sb0003	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0003	100.0	0.0	30.124135558126042	1.6282568679203617	20.647485776839567	1.152116896230363	0.7391453808935193	0.01176766038502517	0.17564593254	0.020646834568912628	0.17127055112	0.18002131395999998	0.008750762839999982
p01-s03-c0053-v210-adaptive-g1000-sb0004-reused	p01-s03-c0053	c0053	sb0004	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0004	100.0	0.0	29.24370515641839	2.140832622938053	19.58990045037437	1.197277520447215	0.7324480407217187	0.015856614821352148	0.17024051758	0.015707091594001514	0.17242419336	0.1680568418	-0.00436735156000001
p01-s03-c0053-v210-adaptive-g1000-sb0005-reused	p01-s03-c0053	c0053	sb0005	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0005	100.0	0.0	28.25067586785901	1.6938558018631582	18.66356637010148	1.5965791440639914	0.7251216986450199	0.013282028344120985	0.17427519802	0.016498668639819553	0.1747792878	0.17377110824	-0.0010081795599999888
p01-s03-c0053-v210-adaptive-g1000-sb0006-reused	p01-s03-c0053	c0053	sb0006	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0006	100.0	0.0	32.42242552529933	1.4860794871354992	22.49402565747564	1.5830090240051031	0.7551987019997668	0.009971257345092938	0.18248162802	0.01879477371759721	0.17773072916	0.18723252688000003	0.009501797720000038
p01-s03-c0053-v210-adaptive-g1000-sb0007-reused	p01-s03-c0053	c0053	sb0007	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0007	100.0	0.0	29.576783748000583	1.3621929951780614	20.433060098580533	1.4371977498017952	0.7352500587234794	0.009993384340710688	0.1763106562	0.01856567289601804	0.175000694	0.1776206184	0.002619924400000001
p01-s03-c0053-v210-adaptive-g1000-sb0008-reused	p01-s03-c0053	c0053	sb0008	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0008	100.0	0.0	30.655756482633816	1.6499313159673379	21.06013484989382	1.4693082997433438	0.7429442354350563	0.011791095200825174	0.17217635508	0.02001369359039193	0.17843746676000002	0.1659152434	-0.012522223360000029
