run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	generation	source_role	source_run_id	D0	shannon	simpson	D1	D2	evenness	TV	turnover	realized_host_feedback	mean_adult_richness	mean_adult_gene_diversity
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	25	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2843917781389864	0.9477909605293402	26.692744266018014	19.15377126526099	0.7131966128270855	0.267562398	0.114061061	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	26	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3054117405926036	0.9469498216115586	27.25976322950641	18.850077989895716	0.7177610396787952	0.284509919	0.10806299	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	27	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2982798674381266	0.9447256933620342	27.066041675820763	18.09158831335094	0.7162123731004836	0.29165562500000003	0.091984513	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	28	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.296582111645754	0.9473153629233007	27.020129131960772	18.980865305082773	0.7158437101143602	0.25702067	0.10735756899999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	29	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2817605372419383	0.946089160387055	26.622601547314865	18.549145351464393	0.7126252461260124	0.249211332	0.08759395399999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	30	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2888729858762686	0.9438059542728127	26.812628410411623	17.79547970001719	0.7141696947233674	0.26007407399999993	0.11102888400000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	31	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3325511408801436	0.9472749407712631	28.009707342072527	18.966313449961294	0.7236542855723163	0.21979792099999998	0.10855951899999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	32	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.357220046390567	0.9498029231414835	28.70926940461157	19.921478751014934	0.729011070341201	0.21032638999999997	0.08814719700000002	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	33	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3590457802597604	0.950340966444834	28.761732767619716	20.137323028832316	0.7294075234136084	0.20963783899999996	0.089303277	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	34	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.297649526290771	0.9444139948037689	27.04898621200148	17.990139720776376	0.716075496259477	0.21629836900000002	0.10182993000000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	35	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.28980652387025	0.9443987526187799	26.83767070489924	17.985208014195756	0.7143724099230839	0.245856898	0.08870065	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	36	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.268651580489798	0.9437778490405955	26.275884529309426	17.78658380968124	0.709778672335531	0.22668725099999998	0.08250169600000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	37	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2459429516228506	0.9448440250374126	25.68591922361582	18.1304020222343	0.7048475562312789	0.245184362	0.099224254	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	38	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2191254016495034	0.9401556763251807	25.006240198204466	16.710022581820407	0.6990241992454842	0.278484601	0.118177474	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	39	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.241222127748629	0.9422483975648094	25.564946293530493	17.315536848041734	0.7038224423519731	0.2580958869999999	0.09803125199999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	40	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2620605747682783	0.9444469524324574	26.103269502239726	18.000812624801142	0.7083474536280066	0.262552419	0.10704070100000002	0.5	1.0	0.0
