cell_id	cell	panel	H	B	HB	alpha_target	alpha	m	response	n	mean	sd	ci90_low	ci90_high
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	D2_g100	12	22.206176573727124	0.0010103796709933276	22.20565276533056	22.20670038212369
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	evenness_g100	12	0.7671911873097228	7.76380240324675e-06	0.7671871623426685	0.7671952122767771
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	TV_g100	12	8.555316666666698e-05	6.867392860245255e-06	8.199292278411766e-05	8.911341054921631e-05
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	TV_tail_mean	12	8.036613333333201e-05	6.148733701291162e-06	7.717846197231642e-05	8.35538046943476e-05
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	TV_tail_sd	12	5.495141645115206e-06	1.5617112876252113e-06	4.6855078916332e-06	6.3047753985972125e-06
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	D1_g100	12	34.22791919405211	0.0013843971669014947	34.22720148477804	34.22863690332618
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	D2_g100	12	22.20589816081279	0.001151924142381413	22.20530097189925	22.20649534972633
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	evenness_g100	12	0.7671902488509215	8.782789776425182e-06	0.7671856956130029	0.76719480208884
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	TV_g100	12	9.341733333333461e-05	9.057826744501475e-06	8.872150874421224e-05	9.811315792245699e-05
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	TV_tail_mean	12	9.057899666666664e-05	5.0166382096292646e-06	8.797823450549941e-05	9.317975882783386e-05
p01-s03-c0066	c0066	alpha-by-m	1000	10	10000	0.0	0.0	0.1	TV_tail_sd	12	8.579698996541604e-06	1.3334546107509308e-06	7.888399733896296e-06	9.270998259186913e-06
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	D1_g100	12	34.22789582461171	0.0014619105871641889	34.22713793026509	34.22865371895833
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	D2_g100	12	22.20587228816197	0.0011574683547096465	22.205272224977445	22.206472351346495
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	evenness_g100	12	0.7671901005727602	9.274722987394246e-06	0.7671852923032392	0.7671949088422811
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	TV_g100	12	8.707633333333272e-05	6.798395376626675e-06	8.355185962935965e-05	9.060080703730578e-05
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	TV_tail_mean	12	9.047432166666688e-05	1.21016550980631e-06	8.984693883873788e-05	9.110170449459589e-05
p01-s03-c0067	c0067	alpha-by-m	1000	10	10000	0.0	0.0	0.5	TV_tail_sd	12	8.85929015449866e-06	1.0945826136144896e-06	8.291828654425592e-06	9.426751654571727e-06
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	D0_g100	12	100.0	0.0	100.0	100.0
